Site,Image Count,Histogram Bin,Vis 1.0,Vis 2.0,Vis 3.0,Vis 4.0,Vis 5.0,Vis 6.0,Vis 7.0,Vis 8.0,Vis 9.0,Vis 10.0
SITE10,51,51-75,0,0,5,8,7,22,9,0,0,0
SITE100,6,0-25,0,0,1,0,2,3,0,0,0,0
SITE104,27,26-50,0,0,9,0,5,2,11,0,0,0
SITE105,16,0-25,0,0,9,0,0,3,4,0,0,0
SITE106,12,0-25,0,0,2,4,0,3,3,0,0,0
SITE11,5,0-25,0,0,0,4,0,0,1,0,0,0
SITE111,33,26-50,0,0,4,7,7,8,7,0,0,0
SITE115,34,26-50,0,0,3,12,8,11,0,0,0,0
SITE116,35,26-50,0,0,11,4,4,4,12,0,0,0
SITE117,80,76-100,0,0,30,23,9,10,8,0,0,0
SITE119,24,0-25,0,0,7,0,10,0,7,0,0,0
SITE12,26,26-50,0,0,2,3,4,17,0,0,0,0
SITE123,10,0-25,0,0,0,5,0,2,3,0,0,0
SITE125,9,0-25,0,0,3,3,1,2,0,0,0,0
SITE127,48,26-50,0,0,6,4,14,17,7,0,0,0
SITE128,62,51-75,0,0,0,13,8,12,29,0,0,0
SITE129,20,0-25,0,0,4,4,4,4,4,0,0,0
SITE13,97,76-100,0,0,38,12,19,8,20,0,0,0
SITE134,14,0-25,0,0,0,8,3,3,0,0,0,0
SITE14,16,0-25,0,0,0,0,9,2,5,0,0,0
SITE15,51,51-75,0,0,6,8,4,15,18,0,0,0
SITE156,34,26-50,0,0,14,9,4,3,4,0,0,0
SITE160,24,0-25,0,0,11,4,0,5,4,0,0,0
SITE161,27,26-50,0,0,14,4,2,7,0,0,0,0
SITE164,11,0-25,0,0,4,4,0,0,3,0,0,0
SITE165,4,0-25,0,0,0,4,0,0,0,0,0,0
SITE167,16,0-25,0,0,7,8,1,0,0,0,0,0
SITE168,4,0-25,0,0,0,0,0,0,4,0,0,0
SITE169,37,26-50,0,0,4,3,10,0,20,0,0,0
SITE17,50,26-50,0,0,9,13,8,13,7,0,0,0
SITE171,22,0-25,0,0,4,3,7,8,0,0,0,0
SITE177,12,0-25,0,0,0,8,0,0,4,0,0,0
SITE178,19,0-25,0,0,5,0,7,5,2,0,0,0
SITE179,59,51-75,0,0,24,16,3,1,15,0,0,0
SITE18,28,26-50,0,0,0,0,7,4,17,0,0,0
SITE183,1,0-25,0,0,0,0,1,0,0,0,0,0
SITE186,32,26-50,0,0,0,4,8,4,16,0,0,0
SITE19,187,151-200,0,0,12,42,68,39,26,0,0,0
SITE193,15,0-25,0,0,7,1,7,0,0,0,0,0
SITE194,42,26-50,0,0,3,8,5,18,8,0,0,0
SITE198,32,26-50,0,0,11,3,8,10,0,0,0,0
SITE20,14,0-25,0,0,3,3,8,0,0,0,0,0
SITE203,74,51-75,0,0,13,9,15,21,16,0,0,0
SITE205,47,26-50,0,0,12,8,4,17,6,0,0,0
SITE207,3,0-25,0,0,0,0,0,0,3,0,0,0
SITE208,26,26-50,0,0,4,8,4,6,4,0,0,0
